lat,lon,AttackID,Status,Location,Narration,Date
1.1666666,103.933334,162-19,Attempted,Singapore Straits.,Five to seven persons in a wooden boat approached and attempted to board a tug underway. Duty watchman noticed the boat and raised the alarm resulting in the persons aborting and moving away.,2019-12-03 02:10:00+07:00
3.9666667,9.083333,161-19,Boarded,"Limboh Anchorage, Cameroon.",Around six persons armed with guns boarded an anchored tanker. A distress message was sent by the tanker. The persons stole ship,2019-12-30 23:30:00+01:00
1.27,104.223335,160-19,Boarded,Singapore Straits.,"Chief Engineer onboard a bulk carrier underway noticed four robbers armed with knives in the engine room and informed Master. Alarm raised, deck lights switched on and crew mustered. Seeing the alerted crew the robbers escaped. A search was carried out. Foot prints were noticed on the quarter deck. Nothing reported stolen.",2019-11-28 22:20:00+07:00
36.763992,3.0631905,159-19,Attempted,Algeria.,Duty crew onboard a berthed tanker noticed three unauthorised persons attempting to board via the forward mooring ropes. Alarm raised resulting in the persons escaping. Incident reported to PFSO. A search was carried out. Nothing reported stolen.,2019-12-13 05:30:00+01:00
1.15,103.48333,158-19,Boarded,Singapore Straits.,"Five robbers boarded a product tanker underway. Second Engineer noticed and shouted at the robbers. Alarm raised, crew mustered, and incident reported to Singapore VTS. Seeing the crew alertness, the robbers escaped without stealing anything. The tanker anchored at Sudong Special anchorage where a Singapore coast guard personnel boarded the tanker for inspection. All crew safe.",2019-12-24 23:20:00+07:00
1.2658334,104.11694,157-19,Boarded,Singapore Straits.,"Five persons armed with knives and guns boarded a bulk carrier underway. They entered into the engine room, took hostage two duty crew, threatened them and tied them up. The robbers stole engine spares and escaped. Incident reported to Singapore VTIS. A coast guard boat responded and escorted the vessel.",2019-12-23 00:20:00+07:00
6.251111,3.2166667,156-19,Boarded,"Lagos Secure Anchorage Area, Nigeria.","Duty crew on board an anchored product tanker noticed two unauthorized persons onboard and raised the alarm. Crew mustered. Naval patrol boat notified via VHF, which responded and searched the waters around the tanker. A search was carried out. Nothing reported stolen.",2019-12-21 01:25:00+01:00
17.6025,83.35,155-19,Attempted,"Visakhapatnam Anchorage, India.","Around 15 to 18 persons in three skiffs approached an anchored bulk carrier. They attempted to board the ship using a rope attached to a hook. Alert crew noticed the attempted boarding and notified the port control and Coast Guard. A patrol vessel was dispatched resulting in the robbers aborting the attempted boarding and escaped. After chasing the boats for a while, the  patrol boat managed to stop one skiff and arrested the persons onboard.",2019-12-01 06:05:00+05:30
1.25,104.083336,154-19,Boarded,Singapore Straits.,"While underway, a tanker was boarded by five robbers armed with knives. Two duty crew on routine rounds were confronted by the robbers, who threatened them and tied them up. Alarm raised and crew mustered. Hearing the alarm, the robbers escaped without stealing anything. Incident reported to Singapore VTIS.",2019-12-22 23:00:00+07:00
1.25,104.01667,153-19,Boarded,Singapore Straits.,"Five robbers armed with long knives boarded a bulk carrier underway. They entered into the engine room, took hostage two duty crew and threatened them with knives. The robbers stole engine spares and escaped. Alarm raised, crew mustered, and incident reported to Singapore VTIS. A coast guard boat responded and escorted the ship to an anchorage, where they boarded the ship for inspection. All crew safe.",2019-12-20 22:30:00+07:00
0.31805557,9.385278,152-19,Attempted,"Owendo Anchorage, Gabon.","Around six armed persons in a skiff came alongside an anchored bulk carrier and attempted to hook on a ladder to board the vessel. The persons threatened the crew with their weapons. Alarm raised and port authorities notified. Seeing the alerted crew, the armed persons aborted the attempted boarding. Vessel and crew are safe.",2019-12-21 23:30:00+01:00
-5.5008335,105.28472,151-19,Boarded,"Panjang Anchorage, Indonesia.","Three robbers armed with long knives boarded an anchored bulk carrier. They broke into the engine room work shop, stole auxiliary engine spares and escaped. Authorities notified.",2019-12-11 03:25:00+07:00
-4.7655554,11.783334,150-19,Boarded,"Pointe Noire Anchorage, The Congo.","Two robbers in a canoe came alongside an anchored offshore tug. They boarded the vessel, stole ship",2019-12-17 03:30:00+01:00
4.385,2.0541666,149-19,Boarded,"Around 118nm SSW of Cotonou, Benin.","Around six heavily armed pirates boarded a product tanker underway. They took hostage all crew members and destroyed some equipment resulting in the tanker going into a blackout condition. The remaining crew sent a distress and requested to be towed to a safe area. Upon receiving the information, the IMB Piracy Reporting Centre immediately notified and liaised with the Regional Authorities to provide assistance to the tanker. A Togo Navy ship was dispatched to the location of the tanker and made arrangements to tow the tanker. Twenty crew were reported missing.",2019-12-15 08:00:00+00:00
-12.036111,-77.217224,148-19,Boarded,Peru.,"Crew on routine rounds onboard an anchored bulk carrier noticed three robbers armed with long knives at forecastle deck and raised the alarm. Crew mustered. A small boat was seen departing the vessel.  Upon checking, the bosun store and paint store were reported broken into and ship",
-12.01885,-77.21881,147-19,Boarded,"Callao Anchorage, Peru.","Three robbers boarded an anchored bulk carrier via the anchor chain and hawse pipe. They tied up the duty OS, took his radio, watch and flashlight and entered the forecastle store. The duty OS managed to escape and raised the alarm resulting in the crew mustering. Hearing the alarm, the robbers escaped in a waiting motorboat. Upon investigation, ship",2019-12-07 01:10:00-05:00
3.1,7.116667,146-19,Boarded,"Around 76nm South of Bonny, Nigeria.",Armed pirates attack and boarded an oil tanker underway. Nineteen crew were identified as missing. The vessel Owners notified the Nigerian Navy and MRCC for assistance. Remaining crew sailed the tanker to a safe area.,2019-12-03 18:10:00+00:00
1.3052778,104.34639,143-19,Boarded,Singapore Straits.,"While underway, a duty engine crew onboard a bulk carrier was confronted by robbers armed with knives. The robbers threatened the crew with a knife and attempted to take him hostage. The crew managed to escape and raised the alarm resulting in the crew mustering. Seeing the alerted crew, the robbers escaped without stealing anything. Master reported the incident to VTIS. A patrol boat was dispatched to the location. Vessel and crew are safe.",2019-11-28 04:45:00+08:00
-12.018888,-77.18528,142-19,Boarded,"Callao Anchorage, Peru.",Duty crew onboard an anchored vehicle carrier noticed the forecastle store entrance door and forward booby hatch cover opened. On investigating three mooring ropes were reported missing. Incident reported to Callao Port Authority.,2019-11-23 05:20:00-05:00
-14.383295,40.75356,141-19,Boarded,"Nacala Outer Anchorage, Mozambique.",Duty crew onboard an anchored bulk carrier noticed an unauthorised person on the forecastle deck and raised the alarm. Crew mustered and a search carried out. Seeing the alerted crew the person escaped. Nothing reported stolen. All crew safe. Incident reported to Port Control.,2019-11-19 23:55:00+02:00
